RoleDisplayName,Permission,RoleType
Cloud Application Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
Cloud Device Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Cloud Device Administrator,microsoft.directory/auditLogs/allProperties/read,Built-in
Cloud Device Administrator,microsoft.directory/authorizationPolicy/standard/read,Built-in
Cloud Device Administrator,microsoft.directory/bitlockerKeys/key/read,Built-in
Cloud Device Administrator,microsoft.directory/deletedItems.devices/delete,Built-in
Cloud Device Administrator,microsoft.directory/deletedItems.devices/restore,Built-in
Cloud Device Administrator,microsoft.directory/deviceLocalCredentials/password/read,Built-in
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/basic/update,Built-in
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/standard/read,Built-in
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update,Built-in
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read,Built-in
Cloud Device Administrator,microsoft.directory/devices/delete,Built-in
Cloud Device Administrator,microsoft.directory/devices/disable,Built-in
Cloud Device Administrator,microsoft.directory/devices/enable,Built-in
Cloud Device Administrator,microsoft.directory/devices/permissions/update,Built-in
Cloud Device Administrator,microsoft.directory/deviceTemplates/owners/read,Built-in
Cloud Device Administrator,microsoft.directory/deviceTemplates/owners/update,Built-in
Cloud Device Administrator,microsoft.directory/signInReports/allProperties/read,Built-in
Cloud Device Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.azure.supportTickets/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.directory/entitlementManagement/allProperties/read,Built-in
Compliance Administrator,microsoft.office365.complianceManager/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.office365.supportTickets/allEntities/allTasks,Built-in
Compliance Administrator,microsoft.office365.webPortal/allEntities/standard/read,Built-in
